RSPO szkoły,* liczba zdających.2,* zdawalność (%).3,średni wynik (%).2
7892,77.0,97.40259740259741,73.05194805194805
133386,19.0,100.0,71.42105263157895
11019,8.0,75.0,60.5
8865,30.0,86.66666666666667,65.23333333333333
53314,13.0,100.0,91.15384615384616
61001,153.0,100.0,81.18300653594771
78212,18.0,100.0,81.88888888888889
60994,171.0,100.0,82.24561403508773
60988,135.0,100.0,90.8
17525,33.0,100.0,58.303030303030305
55203,146.0,100.0,83.42465753424658
41928,235.0,100.0,88.56170212765957
27222,11.0,100.0,60.45454545454545
18998,154.0,100.0,88.3896103896104
14961,161.0,100.0,84.05590062111801
11576,115.0,99.1304347826087,72.34210526315789
20821,30.0,93.10344827586206,59.666666666666664
271604,4.0,,
85984,5.0,100.0,54.6
80383,27.0,96.29629629629629,59.851851851851855
87494,5.0,100.0,63.6
104910,104.0,94.23076923076923,69.52884615384616
41295,124.0,99.19354838709677,80.6910569105691
14995,155.0,98.70967741935483,77.48387096774194
111937,24.0,81.81818181818183,54.333333333333336
21932,13.0,84.61538461538461,63.46153846153846
14390,58.0,100.0,88.75862068965517
14413,66.0,96.96969696969697,73.25757575757575
87122,160.0,98.75,79.6
72575,45.0,70.45454545454545,48.82222222222222
72597,10.0,90.0,57.4
87280,178.0,98.31460674157303,81.38764044943821
13912,25.0,60.0,45.36
66134,125.0,100.0,85.704
16831,163.0,98.77300613496932,80.50920245398773
86129,23.0,100.0,75.6086956521739
103477,47.0,93.47826086956522,67.68085106382979
87273,18.0,72.22222222222221,42.833333333333336
87868,10.0,80.0,45.8
104141,13.0,76.92307692307693,59.15384615384615
52854,159.0,100.0,88.52830188679245
52857,161.0,100.0,94.2919254658385
51790,113.0,98.23008849557522,77.22321428571429
68477,39.0,84.61538461538461,56.35897435897436
12173,35.0,100.0,95.34285714285714
52409,107.0,100.0,96.26168224299066
58362,31.0,96.66666666666667,80.64516129032258
91549,103.0,94.0,64.18627450980392
73924,87.0,100.0,88.82758620689656
86975,84.0,100.0,96.19047619047619
52855,119.0,98.31932773109243,73.83193277310924
87848,18.0,100.0,96.27777777777777
52697,153.0,100.0,96.08496732026144
64285,28.0,85.18518518518519,54.392857142857146
104677,183.0,100.0,94.64480874316939
88665,4.0,,
88974,54.0,94.33962264150944,67.44444444444444
92673,8.0,100.0,87.0
87847,3.0,,
52853,154.0,100.0,93.13636363636364
83796,18.0,100.0,85.72222222222223
58882,137.0,98.54014598540147,75.10218978102189
52410,180.0,100.0,95.65555555555555
87849,37.0,100.0,77.37837837837837
104416,25.0,100.0,91.36
89302,9.0,44.44444444444444,45.55555555555556
121880,69.0,100.0,93.14492753623189
113811,27.0,96.29629629629629,68.62962962962963
64353,54.0,100.0,80.79629629629629
52860,168.0,100.0,84.39285714285714
79336,15.0,100.0,76.93333333333334
79023,77.0,97.40259740259741,70.23376623376623
88975,59.0,98.30508474576271,74.10169491525424
104761,13.0,76.92307692307693,53.69230769230769
132636,15.0,100.0,71.93333333333334
133758,104.0,99.03846153846155,82.79611650485437
133759,236.0,100.0,91.0
272252,14.0,100.0,90.07142857142857
19246,8.0,100.0,72.625
268899,22.0,90.9090909090909,70.13636363636364
88916,10.0,100.0,71.9
17208,21.0,90.47619047619048,69.28571428571429
22102,19.0,94.73684210526315,60.63157894736842
15314,28.0,100.0,55.74074074074074
6914,185.0,100.0,84.21621621621621
5686,111.0,100.0,80.68468468468468
74074,40.0,97.5,76.525
106722,28.0,100.0,72.28571428571429
